     ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
  89 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
  90 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
  91 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,True     ,200
  92 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,True     ,200
  93 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.01   ,True     ,500
  94 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.005  ,False    ,500
  95 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,200
  96 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,True     ,200
  97 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,False    ,200
  98 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
  99 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 100 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.1    ,False    ,500
 101 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 102 ,logistic          , 0.75 ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
 103 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
 104 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
 105 ,logistic          , 0.75 ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
 106 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
 107 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
 108 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,True     ,200
 109 ,logistic          , 0.8  ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
 110 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
 111 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
 112 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,True     ,200
 113 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,True     ,200
 114 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.005  ,True     ,500
 115 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 116 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 117 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 118 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.1    ,True     ,200
 119 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.1    ,True     ,500
 120 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,200
 121 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.1    ,False    ,200
 122 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
 123 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,200
 124 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 125 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,True     ,200
 126 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 127 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 128 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
 129 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,False    ,200
 130 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 131 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 132 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 133 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.005  ,False    ,500
 134 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
 135 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.01   ,True     ,200
