     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
  80 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
  81 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
  82 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
  83 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
  84 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
  85 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
  86 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,True
  87 ,tanh              ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  88 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
  89 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,True
  90 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
  91 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  92 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  93 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
  94 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  95 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
  96 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  97 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
  98 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
  99 ,logistic          ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,True
