,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
200,tanh,tanh,32,[4],0.002,0.005,0.7,uniform
201,logistic,tanh,1,[4],0.002,0.05,0.7,uniform
202,tanh,tanh,32,[4],0.005,0.01,0.7,uniform
203,logistic,tanh,8,[4],0.005,0.01,0.7,uniform
204,tanh,tanh,8,[4],0.001,0.001,,
205,tanh,logistic,8,[4],0.002,0.01,0.7,uniform
206,tanh,logistic,16,[4],0.001,0.01,,
207,tanh,tanh,8,[4],0.005,0.005,0.7,uniform
208,logistic,tanh,1,[4],0.005,0.05,0.7,uniform
209,tanh,tanh,8,[4],0.005,0.005,,
210,tanh,logistic,16,[4],0.005,0.05,,
211,tanh,tanh,32,[4],0.005,0.01,,
212,logistic,logistic,1,[4],0.01,0.001,0.7,uniform
213,logistic,tanh,16,[4],0.001,0.01,0.7,uniform
214,logistic,tanh,32,[4],0.001,0.005,0.7,uniform
215,logistic,tanh,8,[4],0.001,0.001,0.7,uniform
216,tanh,tanh,16,[4],0.005,0.01,0.7,uniform
217,logistic,logistic,1,[4],0.001,0.001,0.7,uniform
218,tanh,logistic,8,[4],0.005,0.05,0.7,uniform
219,logistic,tanh,1,[4],0.002,0.01,0.7,uniform
220,tanh,tanh,16,[4],0.005,0.005,,
221,tanh,logistic,32,[4],0.002,0.05,0.7,uniform
222,logistic,logistic,8,[4],0.002,0.05,0.7,uniform
223,tanh,tanh,32,[4],0.01,0.05,0.7,uniform
224,logistic,logistic,1,[4],0.002,0.05,0.7,uniform
225,logistic,logistic,1,[4],0.001,0.01,0.7,uniform
226,tanh,tanh,8,[4],0.01,0.01,,
227,tanh,tanh,16,[4],0.01,0.05,0.7,uniform
228,tanh,tanh,32,[4],0.001,0.005,0.7,uniform
229,tanh,logistic,1,[4],0.002,0.001,,
230,tanh,tanh,32,[4],0.002,0.005,,
231,logistic,tanh,16,[4],0.01,0.05,0.7,uniform
232,logistic,tanh,8,[4],0.001,0.005,0.7,uniform
233,tanh,tanh,8,[4],0.01,0.01,0.7,uniform
234,logistic,logistic,8,[4],0.002,0.05,,
235,tanh,logistic,1,[4],0.001,0.005,0.7,uniform
236,tanh,logistic,1,[4],0.001,0.001,,
237,tanh,logistic,8,[4],0.001,0.005,,
238,logistic,tanh,1,[4],0.005,0.01,0.7,uniform
239,tanh,tanh,32,[4],0.01,0.001,0.7,uniform
240,tanh,tanh,32,[4],0.001,0.005,,
241,tanh,logistic,1,[4],0.005,0.005,0.7,uniform
242,logistic,tanh,32,[4],0.005,0.05,0.7,uniform
243,logistic,tanh,1,[4],0.01,0.0001,0.7,uniform
244,tanh,logistic,8,[4],0.002,0.01,,
245,logistic,logistic,1,[4],0.01,0.05,,
246,logistic,tanh,1,[4],0.001,0.01,0.7,uniform
247,logistic,logistic,8,[4],0.001,0.05,0.7,uniform
248,logistic,tanh,1,[4],0.005,0.01,,
249,tanh,tanh,32,[4],0.002,0.01,0.7,uniform
250,logistic,tanh,1,[4],0.002,0.001,,
251,logistic,tanh,1,[4],0.01,0.05,,
252,tanh,logistic,8,[4],0.001,0.01,0.7,uniform
253,logistic,logistic,1,[4],0.002,0.01,,
254,logistic,tanh,1,[4],0.01,0.01,,
255,tanh,logistic,32,[4],0.001,0.05,0.7,uniform
256,logistic,logistic,1,[4],0.001,0.05,,
257,tanh,logistic,1,[4],0.01,0.0001,,
258,tanh,tanh,1,[4],0.005,0.01,0.7,uniform
259,logistic,logistic,1,[4],0.001,0.01,,
260,tanh,logistic,8,[4],0.001,0.01,,
261,logistic,tanh,8,[4],0.005,0.05,0.7,uniform
262,tanh,tanh,16,[4],0.002,0.005,,
263,logistic,tanh,16,[4],0.005,0.05,0.7,uniform
264,tanh,logistic,1,[4],0.005,0.01,0.7,uniform
265,logistic,tanh,1,[4],0.001,0.001,0.7,uniform
266,logistic,tanh,16,[4],0.005,0.05,,
267,tanh,tanh,1,[4],0.005,0.001,,
268,tanh,logistic,1,[4],0.001,0.01,0.7,uniform
269,tanh,logistic,8,[4],0.002,0.05,0.7,uniform
270,tanh,logistic,8,[4],0.005,0.05,,
271,tanh,tanh,16,[4],0.002,0.005,0.7,uniform
272,tanh,logistic,1,[4],0.002,0.05,0.7,uniform
273,tanh,tanh,32,[4],0.01,0.05,,
274,tanh,logistic,1,[4],0.005,0.05,0.7,uniform
275,tanh,logistic,1,[4],0.002,0.01,0.7,uniform
276,tanh,tanh,1,[4],0.01,0.005,0.7,uniform
277,logistic,tanh,1,[4],0.002,0.001,0.7,uniform
278,logistic,tanh,1,[4],0.001,0.001,,
279,logistic,tanh,8,[4],0.002,0.01,0.7,uniform
280,tanh,logistic,32,[4],0.002,0.05,,
281,tanh,tanh,8,[4],0.005,0.01,,
282,logistic,tanh,1,[4],0.002,0.005,0.7,uniform
283,tanh,tanh,16,[4],0.001,0.005,0.7,uniform
284,tanh,tanh,32,[4],0.002,0.01,,
285,logistic,tanh,32,[4],0.002,0.05,,
286,logistic,tanh,8,[4],0.001,0.01,0.7,uniform
287,logistic,tanh,32,[4],0.001,0.05,,
288,tanh,tanh,16,[4],0.005,0.01,,
289,logistic,logistic,1,[4],0.001,0.05,0.7,uniform
290,tanh,tanh,16,[4],0.001,0.01,0.7,uniform
291,tanh,tanh,8,[4],0.002,0.005,0.7,uniform
292,tanh,logistic,1,[4],0.01,0.05,0.7,uniform
