,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
196,0.65,"[60, 30]",0.0005,linear_decay,0.06,False
197,0.7,"[60, 30]",0.0005,linear_decay,0.12,False
198,0.85,"[60, 30]",0.001,linear_decay,0.04,True
199,0.75,"[60, 30]",0.0001,linear_decay,0.05,False
200,0.8,"[30, 30, 30]",0.0005,linear_decay,0.04,True
201,0.85,"[30, 30, 30]",0.0001,linear_decay,0.06,True
202,0.9,"[60, 30]",0.0001,fixed,0.008,False
203,0.8,"[30, 30, 30]",0.001,linear_decay,0.06,True
204,0.85,"[30, 30, 30]",0.00025,linear_decay,0.06,True
205,0.7,"[60, 30]",0.00025,linear_decay,0.1,False
206,0.65,"[60, 30]",0.0005,linear_decay,0.08,False
207,0.65,"[30, 30, 30]",0.00025,linear_decay,0.06,True
208,0.9,"[60, 30]",0.00025,fixed,0.008,False
209,0.65,"[60, 30]",0.0005,linear_decay,0.1,False
210,0.75,"[30, 30, 30]",0.0005,linear_decay,0.06,True
211,0.9,"[30, 30, 30]",0.00025,fixed,0.008,False
212,0.75,"[60, 30]",0.00025,linear_decay,0.08,True
213,0.6,"[30, 30, 30]",0.0001,linear_decay,0.08,False
214,0.65,"[30, 30, 30]",0.0001,linear_decay,0.05,False
215,0.7,"[30, 30, 30]",0.001,linear_decay,0.06,True
216,0.75,"[30, 30, 30]",0.00025,linear_decay,0.08,True
217,0.6,"[30, 30, 30]",0.0005,linear_decay,0.1,False
218,0.8,"[30, 30, 30]",0.0005,linear_decay,0.04,False
219,0.85,"[60, 30]",0.001,linear_decay,0.1,True
220,0.9,"[30, 30, 30]",0.0005,fixed,0.008,False
221,0.7,"[30, 30, 30]",0.001,linear_decay,0.08,False
222,0.65,"[60, 30]",0.00025,linear_decay,0.1,False
223,0.6,"[60, 30]",0.0005,linear_decay,0.1,False
224,0.9,"[30, 30, 30]",5e-05,fixed,0.008,True
225,0.8,"[60, 30]",0.0005,linear_decay,0.08,False
226,0.6,"[60, 30]",0.0001,linear_decay,0.06,True
227,0.7,"[60, 30]",0.0005,linear_decay,0.05,False
228,0.7,"[60, 30]",0.001,linear_decay,0.08,False
229,0.7,"[60, 30]",0.001,linear_decay,0.08,True
230,0.8,"[60, 30]",0.00025,linear_decay,0.04,False
231,0.8,"[30, 30, 30]",0.001,linear_decay,0.08,False
232,0.65,"[60, 30]",0.0001,linear_decay,0.12,False
