    ,activation_hidden ,activation_out ,batch_size ,hidden_layer_sizes ,lambd ,learning_rate_init ,weights_bound ,weights_dist
178 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,              ,
179 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
180 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
181 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.0005 ,              ,
182 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
183 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
184 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
185 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
186 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,              ,
187 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,              ,
188 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,              ,
189 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,              ,
190 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
191 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
192 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
193 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,              ,
194 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
195 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
196 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,              ,
197 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
198 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
