,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
198,logistic,tanh,8,[4],0,0.001,,
199,logistic,logistic,32,[4],0,0.05,0.7,uniform
200,logistic,logistic,8,[2],0,0.005,,
201,tanh,logistic,8,[4],0,0.001,0.7,uniform
202,logistic,tanh,16,[4],0,0.001,0.7,uniform
203,tanh,tanh,16,[2],0,0.0001,0.7,uniform
204,tanh,logistic,1,[2],0,0.0001,0.7,uniform
205,tanh,logistic,32,[4],0,0.005,,
206,logistic,tanh,8,[2],0,0.0001,,
207,tanh,tanh,8,[2],0,0.0001,0.7,uniform
208,logistic,tanh,16,[4],0,0.001,,
209,tanh,tanh,8,[2],0,0.001,,
210,logistic,logistic,8,[4],0,0.01,0.7,uniform
211,tanh,logistic,32,[4],0,0.005,0.7,uniform
212,tanh,tanh,16,[2],0,0.001,0.7,uniform
213,logistic,logistic,32,[2],0,0.05,0.7,uniform
214,logistic,tanh,32,[4],0,0.005,,
215,tanh,logistic,16,[2],0,0.001,0.7,uniform
216,tanh,tanh,32,[2],0,0.001,0.7,uniform
217,logistic,tanh,32,[2],0,0.01,,
218,tanh,tanh,32,[4],0,0.005,0.7,uniform
219,logistic,tanh,32,[4],0,0.001,,
220,tanh,tanh,16,[4],0,0.001,0.7,uniform
221,tanh,logistic,32,[2],0,0.01,,
222,tanh,logistic,16,[2],0,0.005,,
223,tanh,tanh,1,[2],0,0.0001,,
224,tanh,tanh,16,[4],0,0.0001,0.7,uniform
225,logistic,logistic,16,[2],0,0.01,,
226,tanh,logistic,32,[4],0,0.01,0.7,uniform
227,logistic,tanh,8,[4],0,0.001,0.7,uniform
228,logistic,tanh,16,[2],0,0.005,0.7,uniform
229,logistic,tanh,16,[4],0,0.005,,
230,tanh,logistic,32,[2],0,0.01,0.7,uniform
231,logistic,tanh,32,[4],0,0.01,,
232,logistic,logistic,1,[2],0,0.001,,
233,logistic,tanh,16,[2],0,0.005,,
234,tanh,tanh,32,[4],0,0.001,,
235,logistic,logistic,8,[2],0,0.0001,0.7,uniform
236,logistic,tanh,16,[4],0,0.01,,
237,logistic,tanh,16,[4],0,0.005,0.7,uniform
238,tanh,logistic,16,[4],0,0.005,0.7,uniform
239,logistic,tanh,32,[2],0,0.001,,
240,tanh,tanh,16,[2],0,0.001,,
241,logistic,tanh,32,[4],0,0.005,0.7,uniform
242,tanh,tanh,32,[2],0,0.001,,
243,logistic,tanh,8,[2],0,0.005,,
244,tanh,logistic,32,[4],0,0.001,0.7,uniform
245,tanh,tanh,1,[4],0,0.0001,0.7,uniform
246,logistic,logistic,8,[4],0,0.01,,
247,logistic,tanh,32,[4],0,0.01,0.7,uniform
248,logistic,tanh,1,[4],0,0.0001,,
249,tanh,logistic,8,[2],0,0.001,,
250,tanh,logistic,8,[4],0,0.005,0.7,uniform
251,tanh,logistic,32,[2],0,0.005,,
252,tanh,tanh,1,[2],0,0.0001,0.7,uniform
253,logistic,logistic,32,[4],0,0.005,,
254,tanh,logistic,32,[4],0,0.001,,
255,logistic,logistic,32,[2],0,0.005,,
256,tanh,tanh,8,[4],0,0.0001,,
257,tanh,logistic,32,[2],0,0.001,0.7,uniform
258,logistic,tanh,8,[4],0,0.0001,,
259,tanh,logistic,16,[2],0,0.001,,
