    ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
 83 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,5e-05   ,fixed         ,             0.006 ,False    ,
 84 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.05  ,True     ,300.0
 85 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.06  ,True     ,300.0
 86 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,             0.06  ,True     ,300.0
 87 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,fixed         ,             0.004 ,False    ,
 88 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.04  ,False    ,300.0
 89 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.1   ,False    ,300.0
 90 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.1   ,True     ,300.0
 91 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.05  ,False    ,300.0
 92 ,logistic          , 0.7  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.1   ,False    ,300.0
 93 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.05  ,True     ,300.0
 94 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.05  ,True     ,300.0
 95 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,             0.06  ,True     ,300.0
 96 ,logistic          , 0.7  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.05  ,False    ,300.0
 97 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.06  ,False    ,300.0
 98 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.05  ,False    ,300.0
 99 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.05  ,False    ,300.0
100 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,             0.1   ,False    ,300.0
101 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.08  ,False    ,300.0
102 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,             0.05  ,False    ,300.0
103 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.1   ,False    ,300.0
104 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.06  ,True     ,300.0
105 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.05  ,False    ,300.0
106 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,5e-05   ,fixed         ,             0.01  ,False    ,
107 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.04  ,False    ,300.0
108 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,fixed         ,             0.008 ,True     ,
109 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.08  ,False    ,300.0
110 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0001  ,fixed         ,             0.008 ,False    ,
111 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.06  ,False    ,300.0
112 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.06  ,True     ,300.0
113 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,5e-05   ,fixed         ,             0.01  ,False    ,
114 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.08  ,False    ,300.0
115 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.05  ,False    ,300.0
116 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.08  ,True     ,300.0
117 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,             0.05  ,False    ,300.0
118 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,fixed         ,             0.01  ,False    ,
119 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,             0.04  ,True     ,300.0
120 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.05  ,False    ,300.0
121 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,             0.08  ,False    ,300.0
122 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.04  ,True     ,300.0
123 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,             0.05  ,False    ,300.0
124 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.04  ,True     ,300.0
125 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.06  ,True     ,300.0
126 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,fixed         ,             0.008 ,False    ,
127 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,             0.06  ,True     ,300.0
128 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.06  ,True     ,300.0
129 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.00025 ,fixed         ,             0.008 ,False    ,
130 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.06  ,True     ,300.0
131 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.00025 ,fixed         ,             0.008 ,False    ,
132 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.08  ,True     ,300.0
