,activation_hidden,alpha,batch_size,epochs,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov,tau
104,logistic,0.75,128,500,"[30, 30, 30]",0.001,linear_decay,0.1,False,500
105,logistic,0.9,128,500,"[30, 30, 30]",0.0001,fixed,0.001,True,200
106,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.1,False,500
107,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,False,500
108,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,500
109,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,True,500
110,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.01,False,500
111,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.01,False,500
112,logistic,0.85,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,500
113,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.01,True,200
114,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,True,500
115,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.1,False,500
116,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.01,True,500
117,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.1,False,500
118,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.01,True,200
119,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.01,False,500
120,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,200
121,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.01,False,500
122,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.01,False,500
123,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,False,500
124,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,False,500
125,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.005,False,500
126,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.01,True,500
127,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.01,True,500
128,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.01,False,200
129,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.01,False,200
130,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,True,500
131,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,500
132,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.005,True,500
133,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.01,True,500
134,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,False,500
135,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,500
136,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.01,True,200
137,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.01,True,500
138,logistic,0.85,128,500,"[30, 30]",0.0005,linear_decay,0.1,True,200
139,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.005,True,500
140,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.01,False,500
141,logistic,0.8,128,500,"[60, 30]",0.001,linear_decay,0.1,True,200
142,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.01,True,500
143,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.1,True,200
144,logistic,0.8,128,500,"[30, 30, 30]",0.001,linear_decay,0.1,False,500
145,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.01,False,200
146,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.01,True,200
147,logistic,0.8,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,False,500
148,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.01,False,200
149,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.1,False,500
150,logistic,0.75,128,500,"[60, 30]",0.001,linear_decay,0.1,True,500
151,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.1,True,200
152,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.01,True,200
153,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.1,False,500
154,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.005,False,500
155,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.005,True,500
156,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.005,False,500
157,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.1,True,500
158,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.01,False,200
159,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.01,False,200
160,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,200
161,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.01,True,500
162,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.01,True,200
163,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.005,False,500
164,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.01,False,500
165,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,True,500
166,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.01,False,200
167,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.1,True,500
168,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.01,True,500
169,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,False,200
170,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.01,False,500
171,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,True,200
172,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.005,False,500
173,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,500
174,logistic,0.9,128,500,"[60, 30]",0.0001,fixed,0.001,True,200
175,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.1,True,200
176,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.1,False,500
177,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,500
178,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.1,False,200
179,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.005,False,500
180,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.005,True,500
181,logistic,0.9,128,500,"[60, 30]",0.0001,fixed,0.001,False,200
182,logistic,0.8,128,500,"[60, 30]",0.001,linear_decay,0.01,False,500
183,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.005,True,500
184,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.01,True,500
185,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,False,200
186,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.01,True,200
187,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,False,200
188,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.005,True,500
189,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,False,200
190,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.005,True,500
191,logistic,0.9,128,500,"[30, 30, 30]",0.00025,fixed,0.001,True,200
192,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,200
193,logistic,0.75,128,500,"[30, 30]",0.001,linear_decay,0.2,False,200
194,logistic,0.9,128,500,"[30, 30, 30]",0.0001,fixed,0.001,False,200
195,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.1,True,200
196,logistic,0.8,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,True,500
197,logistic,0.75,128,500,"[30, 60]",0.0005,linear_decay,0.01,True,500
198,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.01,True,200
199,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.01,False,200
200,logistic,0.8,128,500,"[60, 30]",0.001,linear_decay,0.01,True,500
201,logistic,0.85,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,200
202,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.005,True,500
203,logistic,0.8,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,True,200
204,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.005,False,500
205,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.005,True,500
206,logistic,0.8,128,500,"[30, 30]",0.001,linear_decay,0.01,False,500
207,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,200
208,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.1,False,500
209,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,True,200
210,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,True,200
211,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,200
212,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.01,False,200
213,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.005,True,500
214,logistic,0.9,128,500,"[30, 30, 30]",0.00025,fixed,0.001,False,200
215,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.01,True,200
216,logistic,0.9,128,500,"[30, 30]",0.0001,fixed,0.001,False,200
217,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.005,False,500
218,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,False,200
219,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.005,True,500
220,logistic,0.75,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,False,500
